scenario,interruption,encode,retrieve,riacceptcount,rihandoffcount,ri.intacceptcount,ri.inthandoffcount
1,None,S,S,1,1,1,1
1,None,S,L,4,3,1,1
1,None,L,S,3,5,1,1
1,None,L,L,6,7,1,1
1,ATC,S,S,1,1,1,1
1,ATC,S,L,4,3,1,1
1,ATC,L,S,3,5,1,1
1,ATC,L,L,6,7,1,1
2,None,S,S,2,3,1,2
2,None,S,L,4,4,1,2
2,None,L,S,3,4,1,2
2,None,L,L,5,5,1,2
2,ATC,S,S,2,3,1,2
2,ATC,S,L,4,4,1,2
2,ATC,L,S,3,4,1,2
2,ATC,L,L,5,5,1,2
3,None,S,S,2,1,1,1
3,None,S,L,3,3,1,1
3,None,L,S,4,3,1,1
3,None,L,L,5,5,1,1
3,ATC,S,S,2,1,1,1
3,ATC,S,L,3,3,1,1
3,ATC,L,S,4,3,1,1
3,ATC,L,L,5,5,1,1
4,None,S,S,1,3,1,2
4,None,S,L,2,3,1,2
4,None,L,S,3,5,1,2
4,None,L,L,4,5,1,2
4,ATC,S,S,1,3,1,2
4,ATC,S,L,2,3,1,2
4,ATC,L,S,3,5,1,2
4,ATC,L,L,4,5,1,2
5,None,S,S,1,1,1,1
5,None,S,L,3,5,1,1
5,None,L,S,2,2,1,1
5,None,L,L,4,6,1,1
5,ATC,S,S,1,1,1,1
5,ATC,S,L,3,5,1,1
5,ATC,L,S,2,2,1,1
5,ATC,L,L,4,6,1,1
6,None,S,S,2,2,1,2
6,None,S,L,4,3,1,2
6,None,L,S,3,4,1,2
6,None,L,L,5,5,1,2
6,ATC,S,S,2,2,1,2
6,ATC,S,L,4,3,1,2
6,ATC,L,S,3,4,1,2
6,ATC,L,L,5,5,1,2
7,None,S,S,2,2,1,2
7,None,S,L,4,5,1,2
7,None,L,S,5,3,1,2
7,None,L,L,7,6,1,2
7,ATC,S,S,2,2,1,2
7,ATC,S,L,4,5,1,2
7,ATC,L,S,5,3,1,2
7,ATC,L,L,7,6,1,2
8,None,S,S,2,2,1,2
8,None,S,L,5,3,1,2
8,None,L,S,3,3,1,2
8,None,L,L,6,4,1,2
8,ATC,S,S,2,2,1,2
8,ATC,S,L,5,3,1,2
8,ATC,L,S,3,3,1,2
8,ATC,L,L,6,4,1,2
9,None,S,S,1,1,1,1
9,None,S,L,5,3,1,1
9,None,L,S,3,2,1,1
9,None,L,L,7,4,1,1
9,ATC,S,S,1,1,1,1
9,ATC,S,L,5,3,1,1
9,ATC,L,S,3,2,1,1
9,ATC,L,L,7,4,1,1
10,None,S,S,1,3,1,3
10,None,S,L,4,4,1,3
10,None,L,S,3,5,1,3
10,None,L,L,6,6,1,3
10,ATC,S,S,1,3,1,3
10,ATC,S,L,4,4,1,3
10,ATC,L,S,3,5,1,3
10,ATC,L,L,6,6,1,3
11,None,S,S,2,2,1,1
11,None,S,L,6,4,1,1
11,None,L,S,2,4,1,1
11,None,L,L,6,6,1,1
11,ATC,S,S,2,2,1,1
11,ATC,S,L,6,4,1,1
11,ATC,L,S,2,4,1,1
11,ATC,L,L,6,6,1,1
12,None,S,S,3,2,3,2
12,None,S,L,3,5,3,2
12,None,L,S,6,6,3,2
12,None,L,L,6,9,3,2
12,ATC,S,S,3,2,3,2
12,ATC,S,L,3,5,3,2
12,ATC,L,S,6,6,3,2
12,ATC,L,L,6,9,3,2
13,None,S,S,1,2,0,2
13,None,S,L,3,5,0,2
13,None,L,S,2,3,0,2
13,None,L,L,4,6,0,2
13,ATC,S,S,1,2,0,2
13,ATC,S,L,3,5,0,2
13,ATC,L,S,2,3,0,2
13,ATC,L,L,4,6,0,2
14,None,S,S,2,3,1,2
14,None,S,L,3,4,1,2
14,None,L,S,4,5,1,2
14,None,L,L,5,6,1,2
14,ATC,S,S,2,3,1,2
14,ATC,S,L,3,4,1,2
14,ATC,L,S,4,5,1,2
14,ATC,L,L,5,6,1,2
15,None,S,S,3,2,2,2
15,None,S,L,4,4,2,2
15,None,L,S,4,4,2,2
15,None,L,L,5,6,2,2
15,ATC,S,S,3,2,2,2
15,ATC,S,L,4,4,2,2
15,ATC,L,S,4,4,2,2
15,ATC,L,L,5,6,2,2
16,None,S,S,2,2,1,2
16,None,S,L,4,5,1,2
16,None,L,S,2,5,1,2
16,None,L,L,4,8,1,2
16,ATC,S,S,2,2,1,2
16,ATC,S,L,4,5,1,2
16,ATC,L,S,2,5,1,2
16,ATC,L,L,4,8,1,2
